name,address,zipcode,price_low,price_high,layout,amenities,link,phone_number
Arrive LEX,"2138 S Indiana Ave, Chicago, IL",60616,"$1,900","$4,150",1-3 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, In Unit Washer & Dryer, Controlled Access",https://www.apartments.com/arrive-lex-chicago-il/qv2k7sy/,(708) 919-3021
Chestnut Tower Apartments,"121 W Chestnut St, Chicago, IL",60610,"$2,271","$12,511",Studio - 2 Beds,"Pets Allowed, Fitness Center, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer",https://www.apartments.com/chestnut-tower-apartments-chicago-il/k7934pc/,(708) 775-3701
14 West Elm Apartments,"14 W Elm St, Chicago, IL",60610,"$1,300","$2,600",Studio - 2 Beds,"Cats Allowed, Fitness Center, Dishwasher, Refrigerator, Kitchen, Walk-In Closets",https://www.apartments.com/14-west-elm-apartments-chicago-il/pqkg53t/,(708) 934-4375
Luxe on Madison,"1222 W Madison St, Chicago, IL",60607,"$2,264","$3,249",Studio - 2 Beds,"Pets Allowed, Fitness Center, Dishwasher, Maintenance on site, Stainless Steel Appliances",https://www.apartments.com/luxe-on-madison-chicago-il/lt3r5lg/,(708) 775-3773
Algonquin Apartments,"1606 E Hyde Park Blvd, Chicago, IL",60615,"$1,380","$3,490",Studio - 2 Beds,"Pets Allowed, Fitness Center, Dishwasher, Kitchen, Microwave, High-Speed Internet",https://www.apartments.com/algonquin-apartments-chicago-il/jbww9e6/,(219) 600-3792
Two West Delaware,"2 W Delaware Pl, Chicago, IL",60610,Call for Rent,Call for Rent,1-3 Beds,"Pets Allowed, Fitness Center, Pool, Clubhouse, Maintenance on site, High-Speed Internet, Package Service",https://www.apartments.com/two-west-delaware-chicago-il/jqn1nf6/,(708) 725-0805
The Seneca Apartments,"200 E Chestnut St, Chicago, IL",60611,"$1,820","$3,725",Studio - 1 Bed,"Pets Allowed, Fitness Center, Dishwasher, Walk-In Closets, Maintenance on site, Microwave",https://www.apartments.com/the-seneca-apartments-chicago-il/7b4q0nx/,(708) 775-2268
North Water Apartments,"340 E North Water St, Chicago, IL",60611,"$2,576","$10,265",Studio - 2 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen",https://www.apartments.com/north-water-apartments-chicago-il/tgk0bpb/,(708) 329-0750
Xavier,"625 W Division St, Chicago, IL",60610,"$1,824","$3,691",Studio - 2 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen",https://www.apartments.com/xavier-chicago-il/31znk0d/,(708) 775-2850
Marquee at Block 37,"25 W Randolph St, Chicago, IL",60601,"$2,028","$11,422",Studio - 3 Beds,"Pets Allowed, Fitness Center, Pool, Kitchen, In Unit Washer & Dryer, Range",https://www.apartments.com/marquee-at-block-37-chicago-il/ddcdlyh/,(708) 919-2716
Maynard At Elaine Place,"3419 N Elaine Pl, Chicago, IL",60657,"$2,155","$2,395",2 Beds,"Pets Allowed, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",https://www.apartments.com/maynard-at-elaine-place-chicago-il/c7qyk7f/,(708) 919-2655
Circa 922,"922 W Washington Blvd, Chicago, IL",60607,"$2,345","$4,122",1-2 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen",https://www.apartments.com/circa-922-chicago-il/gks7lsx/,(708) 775-3769
2545 W Fitch Ave,"2545 W Fitch Ave, Chicago, IL",60645,"$1,150","$1,390",1 Bed,"Pets Allowed, Kitchen",https://www.apartments.com/2545-w-fitch-chicago-il/q07bl8z/,(224) 478-1942
ONE Old Town Park,"1140 N Wells St, Chicago, IL",60610,"$1,896","$39,466",Studio - 4 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen",https://www.apartments.com/one-old-town-park-chicago-il/96708x7/,(708) 797-6880
3ELEVEN,"311 W Illinois St, Chicago, IL",60654,"$2,061","$10,769",Studio - 3 Beds,"Pets Allowed, Fitness Center, Pool, In Unit Washer & Dryer, Elevator, Doorman",https://www.apartments.com/3eleven-chicago-il/66x7f8r/,(312) 548-9017
NEMA Chicago,"1210 S Indiana Ave, Chicago, IL",60605,"$2,096","$8,722",Studio - 3 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, In Unit Washer & Dryer, EV Charging, Rooftop Deck",https://www.apartments.com/nema-chicago-chicago-il/vtgrsgd/,(708) 725-1935
Aspire Residences,"2111 S Wabash Ave, Chicago, IL",60616,"$1,845","$8,550",1-3 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, In Unit Washer & Dryer, Disposal",https://www.apartments.com/aspire-residences-chicago-il/dtdhkwk/,(773) 322-1761
Noca Blu,"2340 N California Ave, Chicago, IL",60647,"$2,005","$5,020",Studio - 2 Beds,"Pets Allowed, Fitness Center, In Unit Washer & Dryer, Grill, Controlled Access, Elevator, Rooftop Deck",https://www.apartments.com/noca-blu-chicago-il/ete7bvp/,(708) 318-4489
Milieu,"205 S Peoria, Chicago, IL",60607,"$2,194","$8,007",Studio - 2 Beds,"Pets Allowed, Fitness Center, Pool, Refrigerator, Kitchen, In Unit Washer & Dryer",https://www.apartments.com/milieu-chicago-il/ck37f1d/,(708) 775-3278
Logan,"2522 N Milwaukee Ave, Chicago, IL",60647,"$2,238","$4,219",Studio - 2 Beds,"Pets Allowed, Fitness Center, Pool, Kitchen, Lounge",https://www.apartments.com/logan-chicago-il/q0yn6mw/,(708) 938-3337
Upshore Chapter,"4555 N Sheridan Rd, Chicago, IL",60640,"$1,659","$4,034",Studio - 2 Beds,"Pets Allowed, Fitness Center, Dishwasher, Refrigerator, Kitchen, Walk-In Closets, Range",https://www.apartments.com/upshore-chapter-chicago-il/r8h0yt1/,(224) 529-3894
Live Four50,"450-454 W Belmont Ave, Chicago, IL",60657,"$1,895","$4,675",Studio - 3 Beds,"Pets Allowed, Fitness Center, Dishwasher, Refrigerator, Kitchen, Walk-In Closets",https://www.apartments.com/live-four50-chicago-il/7d2m3hw/,(708) 934-0516
Coeval,"51 E 14th St, Chicago, IL",60605,"$1,755","$5,451",Studio - 2 Beds,"Pets Allowed, Fitness Center, Dishwasher, In Unit Washer & Dryer, Stainless Steel Appliances, Rooftop Deck",https://www.apartments.com/coeval-chicago-il/n9160mq/,(708) 775-3764
5252 S Cornell Ave,"5252 S Cornell Ave, Chicago, IL",60615,"$2,295","$7,150",Studio - 3 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, In Unit Washer & Dryer, Disposal",https://www.apartments.com/5252-chicago-il/26eg83c/,(773) 906-7144
Imprint,"717 S Clark St, Chicago, IL",60605,"$1,709","$5,482",Studio - 4 Beds,"Pets Allowed, Fitness Center, Dishwasher, In Unit Washer & Dryer, Walk-In Closets, Stainless Steel Appliances, Business Center",https://www.apartments.com/imprint-chicago-il/6xy6c5v/,(708) 775-3997
AMLI 808,"808 N Wells St, Chicago, IL",60610,"$1,843","$5,243",Studio - 2 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen",https://www.apartments.com/amli-808-chicago-il/sjf7je6/,(708) 919-3074
Cascade,"455 E Waterside Dr, Chicago, IL",60601,"$2,073","$8,850",Studio - 3 Beds,"Pets Allowed, Fitness Center, Pool, Balcony, Maintenance on site, Grill, Package Service",https://www.apartments.com/cascade-chicago-il/hc2k503/,(312) 757-8219
Lawrence Lofts,"1049 W Lawrence Ave, Chicago, IL",60640,"$1,500","$3,245",Studio - 2 Beds,"Pets Allowed, Fitness Center, Dishwasher, In Unit Washer & Dryer, High-Speed Internet, Elevator, Rooftop Deck",https://www.apartments.com/lawrence-lofts-chicago-il/c8fmj4g/,(224) 435-5243
One Six Six,"166 N Aberdeen St, Chicago, IL",60607,"$2,630","$4,230",Studio - 3 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, In Unit Washer & Dryer",https://www.apartments.com/one-six-six-chicago-il/7xf8lrw/,(708) 393-8249
McCormick,"2401 S State St, Chicago, IL",60616,$996,"$1,663",4 Beds,"Fitness Center, In Unit Washer & Dryer, Controlled Access, Rooftop Deck, Furnished",https://www.apartments.com/mccormick-chicago-il/2g1kxt8/,(872) 253-7718
Inspire West Town,"670 N May St, Chicago, IL",60642,"$2,842","$3,850",2 Beds,"Pets Allowed, Fitness Center, In Unit Washer & Dryer, Disposal, Stainless Steel Appliances, Controlled Access",https://www.apartments.com/inspire-west-town-chicago-il/9sfj5n7/,(312) 997-5068
Millie on Michigan,"88 E Wacker Pl, Chicago, IL",60601,"$2,015","$7,473",Studio - 2 Beds,"Pets Allowed, Fitness Center, Pool, In Unit Washer & Dryer, Maintenance on site, Smoke Free",https://www.apartments.com/millie-on-michigan-chicago-il/tepgrlb/,(312) 870-5520
The Sally,"1135 W Winona St, Chicago, IL",60640,"$1,570","$4,465",Studio - 3 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Kitchen, In Unit Washer & Dryer",https://www.apartments.com/the-sally-chicago-il/dyd6v6h/,(224) 260-2483
Flora,"1114 W Carroll Ave, Chicago, IL",60607,"$2,199","$26,526",Studio - 3 Beds,"Pets Allowed, Fitness Center, Pool, In Unit Washer & Dryer, Grill, Gated, Rooftop Deck",https://www.apartments.com/flora-chicago-il/bem4gtb/,(877) 865-0747
Park Michigan - 1212 S Michigan Ave,"1212 S Michigan Ave, Chicago, IL",60605,"$1,713","$3,365",Studio - 2 Beds,"Pets Allowed, Fitness Center, Dishwasher, High-Speed Internet, Grill, Elevator, Rooftop Deck",https://www.apartments.com/park-michigan-1212-s-michigan-ave-chicago-il/7h1yt2w/,(708) 919-2811
Lake and Wells,"210 N Wells St, Chicago, IL",60606,"$1,805","$3,473",Studio - 2 Beds,"Pets Allowed, Fitness Center, Balcony",https://www.apartments.com/lake-and-wells-chicago-il/6pcrh5t/,(708) 775-3874
MDA Apartments,"63 E Lake St, Chicago, IL",60601,"$1,560","$3,280",Studio - 2 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Kitchen, In Unit Washer & Dryer",https://www.apartments.com/mda-apartments-chicago-il/pwlwv6s/,(312) 685-4373
Sheridan Tower - 5650 N Sheridan Rd,"5650 N Sheridan Rd, Chicago, IL",60660,"$1,449","$2,497",Studio - 1 Bed,"Pets Allowed, Fitness Center, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer",https://www.apartments.com/sheridan-tower-5650-n-sheridan-rd-chicago-il/7htvq4w/,(708) 434-2534
Arrive Streeterville,"333 E Ontario St, Chicago, IL",60611,"$1,700","$5,685",Studio - 3 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, Walk-In Closets",https://www.apartments.com/arrive-streeterville-chicago-il/90fhlb7/,(708) 919-2992
Coast at Lakeshore East,"345 E Wacker Dr, Chicago, IL",60601,"$2,175","$4,938",Studio - 3 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen",https://www.apartments.com/coast-at-lakeshore-east-chicago-il/es8ebnn/,(708) 434-2554
AMLI Lofts,"850 S Clark St, Chicago, IL",60605,"$1,945","$4,873",Studio - 2 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, In Unit Washer & Dryer, EV Charging, Rooftop Deck",https://www.apartments.com/amli-lofts-chicago-il/xwre5rp/,(609) 916-1265
Exhibit on Superior,"165 W Superior St, Chicago, IL",60654,"$2,189","$10,123",Studio - 3 Beds,"Pets Allowed, Fitness Center, Pool, In Unit Washer & Dryer, Maintenance on site, High-Speed Internet, Business Center",https://www.apartments.com/exhibit-on-superior-chicago-il/chjyl1f/,(708) 401-9108
North Harbor Tower,"175 N Harbor Dr, Chicago, IL",60601,"$1,810","$6,795",Studio - 3 Beds,"Pets Allowed, Fitness Center, Pool, Clubhouse, Courtyard, Doorman",https://www.apartments.com/north-harbor-tower-chicago-il/2r98mnc/,(708) 775-3334
The Chicagoan,"750 N RUSH St, CHICAGO, IL",60611,"$2,026","$5,396",1-3 Beds,"Cats Allowed, Fitness Center, Pool, In Unit Washer & Dryer, Business Center, Granite Countertops, Smoke Free",https://www.apartments.com/the-chicagoan-chicago-il/j8pqc34/,(708) 797-9767
1001 South State,"1001 S State St, Chicago, IL",60605,"$1,925","$14,289",Studio - 3 Beds,"Pets Allowed, Fitness Center, Pool, Refrigerator, Kitchen, In Unit Washer & Dryer",https://www.apartments.com/1001-south-state-chicago-il/hlbgn40/,(708) 298-5546
West77 Apartments,"77 W Huron, Chicago, IL",60654,"$2,035","$5,551",Studio - 3 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Kitchen, In Unit Washer & Dryer, Balcony",https://www.apartments.com/west77-apartments-chicago-il/1ez4505/,(708) 775-2543
SoNu Digs,"1515 N Fremont St, Chicago, IL",60642,"$1,425","$1,450",Studio,"Pets Allowed, In Unit Washer & Dryer, Heat, High-Speed Internet, Package Service, Controlled Access, Elevator",https://www.apartments.com/sonu-digs-chicago-il/7gj4vey/,(708) 725-1662
Wolf Point East,"313 W Wolf Point Plz, Chicago, IL",60654,"$2,460","$16,521",Studio - 3 Beds,"Pets Allowed, Fitness Center, Pool, Clubhouse, Grill, Lounge, Concierge",https://www.apartments.com/wolf-point-east-chicago-il/5qn8d7n/,(312) 764-1281
1400 Wabash,"1400 S Wabash Ave, Chicago, IL",60605,"$1,817","$6,533",Studio - 3 Beds,"Pets Allowed, Fitness Center, Dishwasher, In Unit Washer & Dryer, Stainless Steel Appliances, Elevator, Rooftop Deck",https://www.apartments.com/1400-wabash-chicago-il/q38pvly/,(708) 725-1581
Arthur on Aberdeen,"210 N Aberdeen St, Chicago, IL",60607,"$1,985","$4,715",Studio - 2 Beds,"Pets Allowed, Fitness Center, Pool, Walk-In Closets, Clubhouse, Balcony, Maintenance on site",https://www.apartments.com/arthur-on-aberdeen-chicago-il/kjx7559/,(817) 659-1060
Paper Box Lofts,"153 W Ohio St, Chicago, IL",60654,"$1,995","$8,500",Studio - 3 Beds,"Pets Allowed, Fitness Center, In Unit Washer & Dryer, Walk-In Closets, Controlled Access, Elevator, Concierge",https://www.apartments.com/paper-box-lofts-chicago-il/cp62f1f/,(708) 577-5784
River North Park Apartments,"320 W Illinois St, Chicago, IL",60654,"$1,710","$6,095",Studio - 2 Beds,"Pets Allowed, Pool, Courtyard, Hardwood Floors, Concierge",https://www.apartments.com/river-north-park-apartments-chicago-il/tbg3pjc/,(708) 775-3611
One Superior Place,"1 W Superior St, Chicago, IL",60654,"$1,903","$4,335",Studio - 2 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen",https://www.apartments.com/one-superior-place-chicago-il/9kneje6/,(708) 919-3364
Wolf Point West,"343 W Wolf Point Plz, Chicago, IL",60654,"$2,010","$14,729",Studio - 3 Beds,"Pets Allowed, Fitness Center, Pool, In Unit Washer & Dryer, Walk-In Closets, Clubhouse, Balcony",https://www.apartments.com/wolf-point-west-chicago-il/hxfpws2/,(312) 564-5523
465 North Park,"465 N Park Dr, Chicago, IL",60611,"$2,275","$7,572",Studio - 3 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, In Unit Washer & Dryer",https://www.apartments.com/465-north-park-chicago-il/jvgpwg7/,(708) 725-1453
Arrive Michigan Avenue,"1326 S Michigan Ave, Chicago, IL",60605,"$1,920","$7,120",Studio - 3 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, In Unit Washer & Dryer, Rooftop Deck",https://www.apartments.com/arrive-michigan-avenue-chicago-il/fwt450t/,(708) 683-3561
Marlowe,"169 W Huron St, Chicago, IL",60654,"$2,114","$7,758",Studio - 2 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, In Unit Washer & Dryer, Clubhouse",https://www.apartments.com/marlowe-chicago-il/db0h6th/,(844) 620-7978
Straits Row,"633 S La Salle St, Chicago, IL",60605,$100,$100,3 Beds,"Fitness Center, Laundry Facilities, Rooftop Deck, Furnished",https://www.apartments.com/straits-row-chicago-il/yv959ev/,(872) 253-7991
The Bernardin,"747 N Wabash Ave, Chicago, IL",60611,"$2,140","$7,458",Studio - 2 Beds,"Pets Allowed, Fitness Center, Pool, Clubhouse, Maintenance on site, High-Speed Internet, Package Service",https://www.apartments.com/the-bernardin-chicago-il/4syn8sl/,(708) 775-2468
Moment,"545 N McClurg Ct, Chicago, IL",60611,"$2,210","$5,520",Studio - 3 Beds,"Pets Allowed, Fitness Center, Pool, In Unit Washer & Dryer, Clubhouse, High-Speed Internet, Business Center",https://www.apartments.com/moment-chicago-il/1wvw6h4/,(708) 919-3313
One Chicago,"14 W Superior St, Chicago, IL",60654,"$2,714","$14,272",Studio - 3 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen",https://www.apartments.com/one-chicago-chicago-il/pkk3swr/,(708) 775-3996
Residences at 8 E Huron,"8 E Huron St, Chicago, IL",60611,"$2,450","$10,995",1-3 Beds,"Pets Allowed, Fitness Center, Pool, Concierge",https://www.apartments.com/residences-at-8-e-huron-chicago-il/sgm8x57/,(708) 393-2727
Fisher Building Apartments,"343 S Dearborn St, Chicago, IL",60604,"$1,635","$3,670",Studio - 3 Beds,"Pets Allowed, Fitness Center, Kitchen, Walk-In Closets, Range, CableReady",https://www.apartments.com/fisher-building-apartments-chicago-il/glgztbz/,(312) 685-4327
The Belden Stratford,"2300 N Lincoln Park, Chicago, IL",60614,"$2,930","$11,710",Studio - 2 Beds,"Pets Allowed, Fitness Center, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer",https://www.apartments.com/the-belden-stratford-chicago-il/pgppxnt/,(224) 470-7746
The Kent,"2623-2627 N Clark St, Chicago, IL",60614,"$2,176","$2,485",1 Bed,"Pets Allowed, Fitness Center, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer",https://www.apartments.com/the-kent-chicago-il/rj0tez0/,(631) 619-5730
Covington - 4600 N Clarendon Ave,"4600 N Clarendon Ave, Chicago, IL",60640,"$1,433","$1,993",1 Bed,"Pets Allowed, Fitness Center, Dishwasher, Refrigerator, Kitchen, Walk-In Closets",https://www.apartments.com/covington-4600-n-clarendon-ave-chicago-il/c9ck01d/,(708) 622-5006
OneEleven,"111 W Wacker Dr, Chicago, IL",60601,"$2,204","$9,913",Studio - 3 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, In Unit Washer & Dryer",https://www.apartments.com/oneeleven-chicago-il/yxyyk0v/,(708) 725-0291
Century Tower,"182 W Lake St, Chicago, IL",60601,"$1,645","$4,262",Studio - 3 Beds,"Pets Allowed, Fitness Center, Kitchen, In Unit Washer & Dryer, Maintenance on site, High-Speed Internet",https://www.apartments.com/century-tower-chicago-il/rqkkv83/,(844) 787-8225
Aqua at Lakeshore East,"225 N Columbus Dr, Chicago, IL",60601,"$2,102","$8,092",Studio - 2 Beds,"Pets Allowed, Fitness Center, Maintenance on site, Business Center, EV Charging, Basketball Court",https://www.apartments.com/aqua-at-lakeshore-east-chicago-il/mjb1ryl/,(708) 797-2996
Vue53,"1324-1346 E 53rd St, Chicago, IL",60615,"$1,235","$2,598",Studio - 2 Beds,"Pets Allowed, Fitness Center, Dishwasher, In Unit Washer & Dryer, Stainless Steel Appliances, Business Center, Ceiling Fans",https://www.apartments.com/vue53-chicago-il/vsr45yf/,(219) 600-4516
Midpointe Apartments,"4050-4064 W 115th St, Chicago, IL",60655,"$1,076","$2,713",Studio - 2 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen",https://www.apartments.com/midpointe-apartments-chicago-il/1bj1255/,(708) 816-2685
Lake Meadows Apartments,"3233 S King, Chicago, IL",60616,"$1,030","$3,937",Studio - 3 Beds,"Pets Allowed, Fitness Center, Balcony, Range, CableReady, Business Center",https://www.apartments.com/lake-meadows-apartments-chicago-il/0xhjzp2/,(708) 797-6733
Left Bank,"300 N Canal St, Chicago, IL",60606,"$2,366","$10,000",Studio - 3 Beds,"Pets Allowed, Fitness Center, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer",https://www.apartments.com/left-bank-chicago-il/9wckdm5/,(708) 725-0913
727 West Madison,"727 W Madison St, Chicago, IL",60661,"$2,076","$9,876",Studio - 3 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, In Unit Washer & Dryer",https://www.apartments.com/727-west-madison-chicago-il/4v3vzkh/,(708) 797-7069
Arrive LEX,"2138 S Indiana Ave, Chicago, IL",60616,"$1,900","$4,150",1-3 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, In Unit Washer & Dryer, Controlled Access",https://www.apartments.com/arrive-lex-chicago-il/qv2k7sy/,(708) 919-3021
Chestnut Tower Apartments,"121 W Chestnut St, Chicago, IL",60610,"$2,271","$12,511",Studio - 2 Beds,"Pets Allowed, Fitness Center, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer",https://www.apartments.com/chestnut-tower-apartments-chicago-il/k7934pc/,(708) 775-3701
14 West Elm Apartments,"14 W Elm St, Chicago, IL",60610,"$1,300","$2,600",Studio - 2 Beds,"Cats Allowed, Fitness Center, Dishwasher, Refrigerator, Kitchen, Walk-In Closets",https://www.apartments.com/14-west-elm-apartments-chicago-il/pqkg53t/,(708) 934-4375
Luxe on Madison,"1222 W Madison St, Chicago, IL",60607,"$2,264","$3,249",Studio - 2 Beds,"Pets Allowed, Fitness Center, Dishwasher, Maintenance on site, Stainless Steel Appliances",https://www.apartments.com/luxe-on-madison-chicago-il/lt3r5lg/,(708) 775-3773
Algonquin Apartments,"1606 E Hyde Park Blvd, Chicago, IL",60615,"$1,380","$3,490",Studio - 2 Beds,"Pets Allowed, Fitness Center, Dishwasher, Kitchen, Microwave, High-Speed Internet",https://www.apartments.com/algonquin-apartments-chicago-il/jbww9e6/,(219) 600-3792
Two West Delaware,"2 W Delaware Pl, Chicago, IL",60610,Call for Rent,Call for Rent,1-3 Beds,"Pets Allowed, Fitness Center, Pool, Clubhouse, Maintenance on site, High-Speed Internet, Package Service",https://www.apartments.com/two-west-delaware-chicago-il/jqn1nf6/,(708) 725-0805
The Seneca Apartments,"200 E Chestnut St, Chicago, IL",60611,"$1,820","$3,725",Studio - 1 Bed,"Pets Allowed, Fitness Center, Dishwasher, Walk-In Closets, Maintenance on site, Microwave",https://www.apartments.com/the-seneca-apartments-chicago-il/7b4q0nx/,(708) 775-2268
North Water Apartments,"340 E North Water St, Chicago, IL",60611,"$2,576","$10,265",Studio - 2 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen",https://www.apartments.com/north-water-apartments-chicago-il/tgk0bpb/,(708) 329-0750
Xavier,"625 W Division St, Chicago, IL",60610,"$1,824","$3,691",Studio - 2 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen",https://www.apartments.com/xavier-chicago-il/31znk0d/,(708) 775-2850
Marquee at Block 37,"25 W Randolph St, Chicago, IL",60601,"$2,028","$11,422",Studio - 3 Beds,"Pets Allowed, Fitness Center, Pool, Kitchen, In Unit Washer & Dryer, Range",https://www.apartments.com/marquee-at-block-37-chicago-il/ddcdlyh/,(708) 919-2716
Maynard At Elaine Place,"3419 N Elaine Pl, Chicago, IL",60657,"$2,155","$2,395",2 Beds,"Pets Allowed, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",https://www.apartments.com/maynard-at-elaine-place-chicago-il/c7qyk7f/,(708) 919-2655
Circa 922,"922 W Washington Blvd, Chicago, IL",60607,"$2,345","$4,122",1-2 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen",https://www.apartments.com/circa-922-chicago-il/gks7lsx/,(708) 775-3769
2545 W Fitch Ave,"2545 W Fitch Ave, Chicago, IL",60645,"$1,150","$1,390",1 Bed,"Pets Allowed, Kitchen",https://www.apartments.com/2545-w-fitch-chicago-il/q07bl8z/,(224) 478-1942
ONE Old Town Park,"1140 N Wells St, Chicago, IL",60610,"$1,896","$39,466",Studio - 4 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen",https://www.apartments.com/one-old-town-park-chicago-il/96708x7/,(708) 797-6880
3ELEVEN,"311 W Illinois St, Chicago, IL",60654,"$2,061","$10,769",Studio - 3 Beds,"Pets Allowed, Fitness Center, Pool, In Unit Washer & Dryer, Elevator, Doorman",https://www.apartments.com/3eleven-chicago-il/66x7f8r/,(312) 548-9017
NEMA Chicago,"1210 S Indiana Ave, Chicago, IL",60605,"$2,096","$8,722",Studio - 3 Beds,"Pets Allowed, Fitness Center, Pool, Dishwasher, In Unit Washer & Dryer, EV Charging, Rooftop Deck",https://www.apartments.com/nema-chicago-chicago-il/vtgrsgd/,(708) 725-1935
