name,address,zipcode,price_low,price_high,layout,amenities,link,phone_number
Windsor Court,"155 E 31st St, New York, NY",10016,"$3,615","$7,870",Studio - 2 Beds,,https://www.apartments.com/windsor-court-new-york-ny/q3856xz/,(551) 222-6951
EOS,"100 W 31st St, New York, NY",10001,"$4,137","$10,382",Studio - 3 Beds,,https://www.apartments.com/eos-new-york-ny/zls36xz/,(347) 767-2850
FRANK 57 WEST,"600 W 58th St, New York, NY",10019,"$4,216","$5,985",1-3 Beds,,https://www.apartments.com/frank-57-west-new-york-ny/yh2kx5r/,(929) 552-4507
The Helena,"601 W 57th St, New York, NY",10019,"$3,803","$7,013",Studio - 2 Beds,,https://www.apartments.com/the-helena-new-york-ny/6het1tr/,(646) 512-8776
Sven,"2959 Northern Blvd, Long Island City, NY",11101,"$3,075","$6,498",Studio - 3 Beds,,https://www.apartments.com/sven-long-island-city-ny/2l02rk8/,(929) 552-4768
Mason Gray,"959 Sterling Pl, Brooklyn, NY",11213,"$2,920","$6,253",Studio - 2 Beds,,https://www.apartments.com/mason-gray-brooklyn-ny/4y8qygh/,(347) 897-1980
Halletts Point,"10 Halletts Pt, Astoria, NY",11102,"$3,381","$6,042",1-2 Beds,,https://www.apartments.com/halletts-point-astoria-ny/1j2c5h6/,(929) 552-4252
Reservoir,"3103 Sedgwick Ave, Bronx, NY",10463,"$2,750","$3,650",1-2 Beds,,https://www.apartments.com/reservoir-bronx-ny/0e91ee2/,(929) 447-0182
6919 De Costa Ave,"6919 De Costa Ave, Arverne, NY",11692,"$1,750","$1,750",1 Bed,,https://www.apartments.com/6919-de-costa-ave-arverne-ny/f9ml0nv/,(551) 205-0840
Shared/Private Rooms in Modern Co-Living Apt,"587-599 Central Ave, Brooklyn, NY",11207,"$1,450","$1,550",1 Bed,,https://www.apartments.com/shared-private-rooms-in-modern-co-living-apt-brooklyn-ny/y4h3mjs/,(844) 389-1955
The Meurice,"145 W 58th St, New York, NY",10019,"$3,900","$4,800",Studio - 1 Bed,,https://www.apartments.com/the-meurice-new-york-ny/dqnhtck/,(862) 281-7873
Placemakr Wall Street,"110 Wall St, New York, NY",10005,"$3,800","$4,600",Studio - 4 Beds,,https://www.apartments.com/placemakr-wall-street-new-york-ny/z21l4pz/,(646) 927-1779
The Centra,"228-238 E 44th St, New York, NY",10017,"$3,580","$7,015",1-5 Beds,,https://www.apartments.com/the-centra-new-york-ny/vz5k7ce/,(551) 888-3135
The Central Park House,"246 W 108th St, New York, NY",10025,"$1,990","$2,240",Studio,,https://www.apartments.com/the-central-park-house-new-york-ny/lsem60d/,(551) 272-3931
FOUND Study Midtown East - Student/Intern,"569 Lexington Ave, New York, NY",10022,"$1,835","$2,950",1-2 Beds,,https://www.apartments.com/found-study-midtown-east-student-intern-new-york-ny/h7zhfj1/,(551) 272-7077
Harrington Co-Living at The Mansfield,"12 W 44TH St, New York, NY",10036,"$1,780","$3,180",Studio,,https://www.apartments.com/harrington-co-living-at-the-mansfield-new-york-ny/nh5b4en/,(551) 302-3088
Private room in all-inclusive Co-Living Apt,"346-354 Manhattan Ave, New York, NY",10026,"$1,490","$1,837",1 Bed,,https://www.apartments.com/private-room-in-all-inclusive-co-living-apt-new-york-ny/917n806/,(551) 465-5473
FOUND Study Turtle Bay- Student/Intern,"525 Lexington Ave, New York, NY",10017,"$1,835","$2,800",Studio,,https://www.apartments.com/found-study-turtle-bay-student-intern-new-york-ny/fze1f2r/,(516) 517-4878
1875 Lexington Ave,"1875 Lexington Ave, New York, NY",10035,"$2,800","$5,500",2-4 Beds,,https://www.apartments.com/1875-lexington-ave-new-york-ny/885ynw3/,(201) 231-8754
FOUND Study Chelsea- Student/Intern,"300 W 20th St, New York, NY",10011,"$1,450","$3,000",1-3 Beds,,https://www.apartments.com/found-study-chelsea-student-intern-new-york-ny/xe61mmq/,(551) 205-0115
The Clark house,"125 W 138th St, New York, NY",10030,"$1,450","$2,090",1-4 Beds,,https://www.apartments.com/the-clark-house-new-york-ny/0pqt8x1/,(551) 272-3808
Two Bedroom Apartment UES,"1777 First Ave, New York, NY",10128,"$1,890","$1,890",2 Beds,,https://www.apartments.com/two-bedroom-apartment-ues-new-york-ny/s8dgdy4/,(844) 281-4527
FOUND Study Brooklyn Heights - Student/Intern,"119 Columbia Hts, Brooklyn, NY",11201,"$2,500","$2,700",1 Bed,,https://www.apartments.com/found-study-brooklyn-heights-student-intern-brooklyn-ny/xw8zq7n/,(718) 550-5523
The Tides At Arverne By The Sea,"190 Beach 69th St, Arverne, NY",11692,"$2,750","$5,000",Studio - 3 Beds,,https://www.apartments.com/the-tides-at-arverne-by-the-sea-arverne-ny/46dfexj/,(516) 559-6979
260 Gold St,"260 Gold St, Brooklyn, NY",11201,"$5,031","$6,890",1-3 Beds,,https://www.apartments.com/260-gold-brooklyn-ny/6eqpess/,(646) 362-5413
Outpost Co-Living - The Williamsburg House,"186 N 6th St, Brooklyn, NY",11211,"$2,050","$2,780",1 Bed,,https://www.apartments.com/outpost-co-living-the-williamsburg-house-brooklyn-ny/qy5mrbw/,(646) 769-9285
The Brooklyner,"111 Lawrence St, Brooklyn, NY",11201,"$2,875","$6,682",Studio - 3 Beds,,https://www.apartments.com/the-brooklyner-brooklyn-ny/yqf575t/,(844) 783-8847
Estela Properties,"445 Gerard Ave, The Bronx, NY",10451,"$2,673","$3,398",Studio - 2 Beds,,https://www.apartments.com/estela-properties-the-bronx-ny/3rcqr2e/,(551) 465-7502
151 Tompkins CoLiving (Individual Rooms Only),"151 Tompkins Ave, Brooklyn, NY",11206,"$1,350","$1,840",6 Beds,,https://www.apartments.com/151-tompkins-coliving-individual-rooms-only-brooklyn-ny/q9vy4gy/,(201) 885-7381
The Arabella,"4720 3rd Ave, Bronx, NY",10458,"$3,100","$4,900",1-3 Beds,,https://www.apartments.com/the-arabella-bronx-ny/5n1t9qm/,(929) 605-2958
Belshire Manor I-II,"16-70 Bell Blvd, Bayside, NY",11360,"$2,600","$2,650",1 Bed,,https://www.apartments.com/belshire-manor-i-ii-bayside-ny/6d8btms/,(914) 677-2331
1134 Fulton St,"1134 Fulton St, Brooklyn, NY",11216,"$3,325","$4,233",Studio - 3 Beds,,https://www.apartments.com/1134-fulton-street-brooklyn-ny/s1qr3h7/,(929) 552-8112
Seaview Apartments,"520-550 Seaview Ave, Staten Island, NY",10305,"$2,800","$3,025",2 Beds,,https://www.apartments.com/seaview-apartments-staten-island-ny/lr0hqfd/,(848) 281-0916
North Main Towers,"137-02 Northern Blvd, Flushing, NY",11354,"$2,450","$2,500",1 Bed,,https://www.apartments.com/north-main-towers-flushing-ny/xjd8hsp/,(929) 552-5204
Fairfield Tudor at Auburndale,"35-01-09 191st St, Flushing, NY",11358,"$2,125","$3,395",1-2 Beds,,https://www.apartments.com/fairfield-tudor-at-auburndale-flushing-ny/2nlh048/,(516) 619-2876
NV Properties,"2475 Hughes Ave, Bronx, NY",10458,"$1,800","$7,300",1-5 Beds,,https://www.apartments.com/nv-properties-bronx-ny/fe58xts/,(929) 590-3451
496 Elverton Ave,"496 Elverton Ave, Staten Island, NY",10308,"$1,750","$2,575",1-2 Beds,,https://www.apartments.com/496-elverton-ave-staten-island-ny/mr5ppxk/,(848) 281-0687
Cara Terrace,"83-33 118th St, Kew Gardens, NY",11415,"$2,450","$2,750",1-2 Beds,,https://www.apartments.com/cara-terrace-kew-gardens-ny/vyfb92d/,(929) 552-4632
FOUND Study ColumbiaHeights | Student Housing,"97 Columbia Hts, Brooklyn, NY",11201,"$1,350","$3,260",Studio,,https://www.apartments.com/found-study-columbiaheights-student-housing-brooklyn-ny/vh82btd/,(551) 205-0753
Fairfield Manor At Douglaston,"43 - 60 Douglaston Pky, Douglaston, NY",11363,"$1,995","$3,250",Studio - 2 Beds,,https://www.apartments.com/fairfield-manor-at-douglaston-douglaston-ny/f4y9g9t/,(516) 619-2637
The Highland,"2840 Atlantic Ave, Brooklyn, NY",11207,"$2,150","$4,250",Studio - 3 Beds,,https://www.apartments.com/the-highland-brooklyn-ny/wvp2t6h/,(888) 623-1036
26A Scholes St,"26A Scholes St, Brooklyn, NY",11206,"$1,495","$2,200",1 Bed,,https://www.apartments.com/26a-scholes-st-brooklyn-ny/wmk8wqh/,(929) 552-0400
Arverne View,"5717 Shore Front Pky, Arverne, NY",11692,"$2,199","$2,720",2-3 Beds,,https://www.apartments.com/arverne-view-arverne-ny/9dd87v5/,(929) 552-3966
The Post on Fort,"3470 Fort Independence St, Bronx, NY",10463,"$1,700","$2,775",Studio - 2 Beds,,https://www.apartments.com/the-post-on-fort-bronx-ny/52vfm2n/,(914) 826-8822
325 W 45th St,"325 W 45th St, New York, NY",10036,"$2,600","$4,200","1-2 Beds, 1 Bath",,https://www.apartments.com/325-w-45th-st-new-york-ny/n4dghvq/,(888) 470-3404
420 W 42nd St,"420 W 42nd St, New York, NY",10036,"$3,900","$3,900","1 Bed, 1 Bath",,https://www.apartments.com/420-w-42nd-st-new-york-ny/249vdgc/,(516) 604-5467
147 W 118th St Unit 2BedroomGardenDuplex,"147 W 118th St Unit 2BedroomGardenDuplex, New York, NY",10026,"$4,700","$4,700","2 Beds, 2.5 Baths, 1,700 sq ft",,https://www.apartments.com/147-w-118th-st-new-york-ny/1f4fwz4/,
321 E 48th St Unit #4K,"321 E 48th St Unit #4K, New York, NY",10017,"$2,950","$2,950","Studio, 1 Bath, 454 sq ft",,https://www.apartments.com/321-e-48th-st-new-york-ny-unit-4k/1zl4w77/,
681 E 29th St,"681 E 29th St Unit 2nd FLOOR, Brooklyn, NY",11210,"$3,050","$3,050","3 Beds, 1 Bath, 1,500 sq ft",,https://www.apartments.com/681-e-29th-st-brooklyn-ny/hfzdnj3/,
3877 Bedford Ave,"3877 Bedford Ave, Brooklyn, NY",11229,"$2,650","$2,650","2 Beds, 1 Bath, 900 sq ft",,https://www.apartments.com/3877-bedford-ave-brooklyn-ny/h5zrel3/,(718) 865-2625
499 Washington Ave Unit 1A,"499 Washington Ave Unit 1A, Brooklyn, NY",11238,"$3,000","$3,000","1 Bed, 1 Bath",,https://www.apartments.com/499-washington-ave-brooklyn-ny-unit-1a/vxwj8fe/,(929) 552-6649
740 Empire Blvd Unit 6A,"740 Empire Blvd Unit 6A, Brooklyn, NY",11213,"$2,600","$2,600","1 Bed, 1 Bath",,https://www.apartments.com/740-empire-blvd-brooklyn-ny-unit-6a/4rhjd8j/,(347) 836-6287
180 19th St Unit 7,"180 19th St Unit 7, Brooklyn, NY",11232,"$5,500","$5,500","3 Beds, 1 Bath, 1,000 sq ft",,https://www.apartments.com/180-19th-st-brooklyn-ny/s50wm04/,(540) 546-6891
100 Dupont St Unit 3H,"100 Dupont St Unit 3H, Brooklyn, NY",11222,"$5,200","$5,200","3 Beds, 1 Bath",,https://www.apartments.com/100-dupont-st-brooklyn-ny-unit-3h/wre6p9k/,(929) 238-9942
146 Meserole St Unit 2K,"146 Meserole St Unit 2K, Brooklyn, NY",11206,"$3,800","$3,800","2 Beds, 1 Bath",,https://www.apartments.com/146-meserole-st-brooklyn-ny-unit-2k/10z82s4/,(929) 552-9465
42-22 Crescent St Unit 8C,"42-22 Crescent St Unit 8C, Queens, NY",11101,"$3,300","$3,300","1 Bed, 1 Bath, 517 sq ft",,https://www.apartments.com/42-22-crescent-st-queens-ny-unit-8c/bebwlt9/,(929) 205-3664
686 Eagle Ave,"686 Eagle Ave, Bronx, NY",10455,"$2,624","$3,027","1-2 Beds, 1 Bath",,https://www.apartments.com/686-eagle-ave-bronx-ny/sfm1vf4/,(551) 272-7142
145 Lincoln Ave,"145 Lincoln Ave, Staten Island, NY",10306,"$2,200","$2,200","1 Bed, 1 Bath, 850 sq ft",,https://www.apartments.com/145-lincoln-ave-staten-island-ny/2reheb9/,(929) 333-3670
100 Broadway Unit 4C,"100 Broadway Unit 4C, Brooklyn, NY",11249,"$3,658","$3,658","2 Beds, 1 Bath",,https://www.apartments.com/100-broadway-brooklyn-ny-unit-4c/fq85zsr/,(929) 329-3741
450 W 50th St Unit PHR,"450 W 50th St Unit PHR, New York, NY",10019,"$6,495","$6,495","3 Beds, 2 Baths",,https://www.apartments.com/450-w-50th-st-new-york-ny-unit-phr/pc3dg2r/,(551) 205-5943
West 4th Street,"310 West 4th Street Unit 3, New York, NY",10014,"$3,900","$3,900","1 Bed, 1 Bath",,https://www.apartments.com/west-4th-street-new-york-ny-unit-3/1wy1h24/,(551) 205-0661
101 W 15th St Unit FL2-ID7,"101 W 15th St Unit FL2-ID7, New York, NY",10011,"$6,820","$6,820","1 Bed, 1 Bath, 630 sq ft",,https://www.apartments.com/101-w-15th-st-new-york-ny-unit-fl2-id7/kly0jpb/,(866) 932-6576
67 Wall St Unit FL13-ID13,"67 Wall St Unit FL13-ID13, New York, NY",10005,"$4,060","$4,060","1 Bed, 1 Bath, 602 sq ft",,https://www.apartments.com/67-wall-st-new-york-ny-unit-fl13-id13/jm1sfs6/,(833) 229-2786
141 E 33rd St Unit FL5-ID4,"141 E 33rd St Unit FL5-ID4, New York, NY",10016,"$5,240","$5,240","1 Bed, 1 Bath, 850 sq ft",,https://www.apartments.com/141-e-33rd-st-new-york-ny-unit-fl5-id4/9jp1cc5/,(917) 993-9559
235 W 48th St Unit FL34-ID14,"235 W 48th St Unit FL34-ID14, New York, NY",10036,"$4,990","$4,990","1 Bed, 1 Bath, 665 sq ft",,https://www.apartments.com/235-w-48th-st-new-york-ny-unit-fl34-id14/7czgszw/,(646) 787-1131
101 W 15th St Unit FL5-ID33,"101 W 15th St Unit FL5-ID33, New York, NY",10011,"$6,910","$6,910","1 Bed, 1 Bath, 638 sq ft",,https://www.apartments.com/101-w-15th-st-new-york-ny-unit-fl5-id33/4e4p78h/,(844) 994-1967
63 Wall St Unit FL31-ID11,"63 Wall St Unit FL31-ID11, New York, NY",10005,"$4,120","$4,120","1 Bed, 1 Bath, 605 sq ft",,https://www.apartments.com/63-wall-st-new-york-ny-unit-fl31-id11/e1p5c8n/,(646) 603-1310
209 Mulberry St Unit FL2-ID296,"209 Mulberry St Unit FL2-ID296, New York, NY",10012,"$6,480","$6,480","2 Beds, 1 Bath, 650 sq ft",,https://www.apartments.com/209-mulberry-st-new-york-ny-unit-fl2-id296/tkv8h8b/,(877) 360-7022
101 W 15th St Unit FL3-ID25,"101 W 15th St Unit FL3-ID25, New York, NY",10011,"$7,510","$7,510","1 Bed, 1 Bath, 635 sq ft",,https://www.apartments.com/101-w-15th-st-new-york-ny-unit-fl3-id25/1n79ge6/,(888) 464-1045
235 W 48th St Unit FL24-ID29,"235 W 48th St Unit FL24-ID29, New York, NY",10036,"$4,940","$4,940","1 Bed, 1 Bath, 725 sq ft",,https://www.apartments.com/235-w-48th-st-new-york-ny-unit-fl24-id29/dcxy1yk/,(646) 828-1229
141 E 33rd St Unit FL12-ID17,"141 E 33rd St Unit FL12-ID17, New York, NY",10016,"$5,990","$5,990","1 Bed, 1 Bath, 820 sq ft",,https://www.apartments.com/141-e-33rd-st-new-york-ny-unit-fl12-id17/tqg8nh9/,(888) 484-0305
108 W 15th St Unit FL3-ID31,"108 W 15th St Unit FL3-ID31, New York, NY",10011,"$4,880","$4,880","1 Bed, 1 Bath, 725 sq ft",,https://www.apartments.com/108-w-15th-st-new-york-ny-unit-fl3-id31/7e7gzgy/,(551) 261-7482
210 W 70th St Unit FL12-ID16,"210 W 70th St Unit FL12-ID16, New York, NY",10023,"$5,140","$5,140","1 Bed, 1 Bath, 617 sq ft",,https://www.apartments.com/210-w-70th-st-new-york-ny-unit-fl12-id16/hzf25q1/,(877) 919-4014
235 W 48th St Unit FL39-ID35,"235 W 48th St Unit FL39-ID35, New York, NY",10036,"$4,880","$4,880","1 Bed, 1 Bath, 675 sq ft",,https://www.apartments.com/235-w-48th-st-new-york-ny-unit-fl39-id35/3yccw4g/,(855) 942-4419
101 W 15th St Unit FL5-ID24,"101 W 15th St Unit FL5-ID24, New York, NY",10011,"$5,330","$5,330","Studio, 1 Bath, 490 sq ft",,https://www.apartments.com/101-w-15th-st-new-york-ny-unit-fl5-id24/y57dq3r/,(877) 958-7658
141 E 33rd St Unit FL16-ID43,"141 E 33rd St Unit FL16-ID43, New York, NY",10016,"$6,160","$6,160","2 Beds, 1.5 Baths, 850 sq ft",,https://www.apartments.com/141-e-33rd-st-new-york-ny-unit-fl16-id43/p6b4mes/,(855) 370-3490
550 W 54th St Unit FL31-ID407,"550 W 54th St Unit FL31-ID407, New York, NY",10019,"$6,040","$6,040","1 Bed, 1 Bath, 650 sq ft",,https://www.apartments.com/550-w-54th-st-new-york-ny-unit-fl31-id407/m2l29dj/,(888) 868-4538
200 E 82nd St Unit FL15-ID37,"200 E 82nd St Unit FL15-ID37, New York, NY",10028,"$5,540","$5,540","1 Bed, 1 Bath, 650 sq ft",,https://www.apartments.com/200-e-82nd-st-new-york-ny-unit-fl15-id37/mxkevgh/,(917) 540-2404
101 W 15th St Unit FL2-ID20,"101 W 15th St Unit FL2-ID20, New York, NY",10011,"$6,840","$6,840","1 Bed, 1 Bath, 620 sq ft",,https://www.apartments.com/101-w-15th-st-new-york-ny-unit-fl2-id20/7ekv67w/,(551) 227-3479
200 E 11th St Unit FL7-ID10,"200 E 11th St Unit FL7-ID10, New York, NY",10003,"$6,870","$6,870","1 Bed, 1 Bath, 700 sq ft",,https://www.apartments.com/200-e-11th-st-new-york-ny-unit-fl7-id10/26wmgc9/,(551) 267-7745
101 W 15th St Unit FL5-ID19,"101 W 15th St Unit FL5-ID19, New York, NY",10011,"$6,930","$6,930","1 Bed, 1 Bath, 620 sq ft",,https://www.apartments.com/101-w-15th-st-new-york-ny-unit-fl5-id19/wrk8n6k/,(917) 935-6598
101 W 15th St Unit FL6-ID34,"101 W 15th St Unit FL6-ID34, New York, NY",10011,"$5,880","$5,880","Studio, 1 Bath, 490 sq ft",,https://www.apartments.com/101-w-15th-st-new-york-ny-unit-fl6-id34/rcc9s93/,(551) 222-3900
660 Fort Washington Ave Unit 3B,"660 Fort Washington Ave Unit 3B, New York, NY",10040,"$3,200","$3,200","2 Beds, 1 Bath, 800 sq ft",,https://www.apartments.com/660-fort-washington-ave-new-york-ny-unit-3b/yj4k4mv/,(551) 465-7655
364 W 18th St Unit FL4-ID18,"364 W 18th St Unit FL4-ID18, New York, NY",10011,"$5,640","$5,640","1 Bed, 1 Bath, 772 sq ft",,https://www.apartments.com/364-w-18th-st-new-york-ny-unit-fl4-id18/x9585em/,(646) 971-0864
1501 Lexington Ave Unit FL5-ID920,"1501 Lexington Ave Unit FL5-ID920, New York, NY",10029,"$4,520","$4,520","Studio, 1 Bath, 500 sq ft",,https://www.apartments.com/1501-lexington-ave-new-york-ny-unit-fl5-id920/djzhyxl/,(844) 708-3421
255 W 94th St Unit FL21-ID1113,"255 W 94th St Unit FL21-ID1113, New York, NY",10025,"$5,360","$5,360","2 Beds, 2 Baths, 955 sq ft",,https://www.apartments.com/255-w-94th-st-new-york-ny-unit-fl21-id1113/3cgv44d/,(551) 465-5888
